uid	regulation	name	id	type	prob	correct	incorrect	zero	score
10962	0	OSR1	130497	Protein	1	0	0	0	0
10962	1	OSR1	130497	Protein	1.33431e-309	0	1	0	-1
11061	-1	raloxifene	8772	Compound	1.19872e-309	2	2	6	0
11061	0	raloxifene	8772	Compound	1	0	0	0	0
11061	1	raloxifene	8772	Compound	1.33452e-309	2	2	6	0
1117	-1	HRAS	3265	Protein	1.15967e-309	18	82	19	-64
1117	0	HRAS	3265	Protein	1.22757e-309	0	0	0	0
1117	1	HRAS	3265	Protein	1	82	18	19	64
11185	-1	CD437		Compound	1.19893e-309	6	2	9	4
11185	0	CD437		Compound	1.26683e-309	0	0	0	0
11185	1	CD437		Compound	1	2	6	9	-4
11217	-1	ETS Family		Protein	1.19914e-309	0	1	3	-1
11217	0	ETS Family		Protein	1.26704e-309	0	0	0	0
11217	1	ETS Family		Protein	1	1	0	3	1
11230	-1	MEIS1	4211	Protein	1.19935e-309	0	3	7	-3
11230	0	MEIS1	4211	Protein	1	0	0	0	0
11230	1	MEIS1	4211	Protein	1.33516e-309	3	0	7	3
11263	-1	gefitinib	49668	Compound	1.19956e-309	7	5	170	2
11263	0	gefitinib	49668	Compound	1	0	0	0	0
11263	1	gefitinib	49668	Compound	1.33537e-309	5	7	170	-2
11300	-1	Sirolimus		Compound	1.19978e-309	3	2	21	1
11300	0	Sirolimus		Compound	1	0	0	0	0
11300	1	Sirolimus		Compound	1.33558e-309	2	3	21	-1
11415	-1	GH1	2688	Protein	1.19999e-309	1	3	10	-2
11415	0	GH1	2688	Protein	1	0	0	0	0
11415	1	GH1	2688	Protein	1.3358e-309	3	1	10	2
11446	-1	DLX5	1749	Protein	1.2002e-309	0	1	4	-1
11446	0	DLX5	1749	Protein	1	0	0	0	0
11446	1	DLX5	1749	Protein	1.33601e-309	1	0	4	1
1149	-1	histamine	18295	Compound	1.15988e-309	2	0	7	2
1149	0	histamine	18295	Compound	1	0	0	0	0
1149	1	histamine	18295	Compound	1.29569e-309	0	2	7	-2
11528	-1	rosiglitazone	50122	Compound	1.20041e-309	3	3	16	0
11528	0	rosiglitazone	50122	Compound	1	0	0	0	0
11528	1	rosiglitazone	50122	Compound	1.33622e-309	3	3	16	0
11613	-1	KLF7	8609	Protein	1.20063e-309	0	1	8	-1
11613	0	KLF7	8609	Protein	1	0	0	0	0
11613	1	KLF7	8609	Protein	1.33643e-309	1	0	8	1
11616	-1	Flavopiridol		Compound	1.20084e-309	1	0	4	1
11616	0	Flavopiridol		Compound	1	0	0	0	0
11616	1	Flavopiridol		Compound	1.33665e-309	0	1	4	-1
11668	-1	lovastatin	40303	Compound	1.20105e-309	2	3	5	-1
11668	0	lovastatin	40303	Compound	1	0	0	0	0
11668	1	lovastatin	40303	Compound	1.33686e-309	3	2	5	1
11708	-1	Ras Family		Protein	1.20126e-309	0	2	23	-2
11708	0	Ras Family		Protein	1	0	0	0	0
11708	1	Ras Family		Protein	1.33707e-309	2	0	23	2
1177	-1	Helicobacter pylori infection		Compound	1.1601e-309	3	1	93	2
1177	0	Helicobacter pylori infection		Compound	1	0	0	0	0
1177	1	Helicobacter pylori infection		Compound	1.2959e-309	1	3	93	-2
11801	-1	POU4F1	5457	Protein	1.20147e-309	0	3	3	-3
11801	0	POU4F1	5457	Protein	1	0	0	0	0
11801	1	POU4F1	5457	Protein	1.33728e-309	3	0	3	3
11885	-1	troglitazone	9753	Compound	1.20169e-309	3	2	21	1
11885	0	troglitazone	9753	Compound	1	0	0	0	0
11885	1	troglitazone	9753	Compound	1.33749e-309	2	3	21	-1
11974	-1	BATF	10538	Protein	1.2019e-309	1	0	5	1
11974	0	BATF	10538	Protein	1	0	0	0	0
11974	1	BATF	10538	Protein	1.33771e-309	0	1	5	-1
12076	-1	leukotriene B4	15647	Compound	1.20211e-309	0	2	12	-2
12076	0	leukotriene B4	15647	Compound	1	0	0	0	0
12076	1	leukotriene B4	15647	Compound	1.33792e-309	2	0	12	2
1219	-1	Adenosine triphosphate		Compound	1.16031e-309	1	2	4	-1
1219	0	Adenosine triphosphate		Compound	1	0	0	0	0
1219	1	Adenosine triphosphate		Compound	1.29612e-309	2	1	4	1
12217	-1	cisplatin	27899	Compound	1	3	1	49	2
12217	0	cisplatin	27899	Compound	1.27023e-309	0	0	0	0
12217	1	cisplatin	27899	Compound	1.33813e-309	1	3	49	-2
12337	-1	Akt Family		Protein	1.20254e-309	0	3	11	-3
12337	0	Akt Family		Protein	1	0	0	0	0
12337	1	Akt Family		Protein	1.33834e-309	3	0	11	3
12338	-1	FOXF2	2295	Protein	1.20275e-309	1	0	10	1
12338	0	FOXF2	2295	Protein	1	0	0	0	0
12338	1	FOXF2	2295	Protein	1.33855e-309	0	1	10	-1
12444	-1	BACH1	571	Protein	1.20296e-309	1	0	6	1
12444	0	BACH1	571	Protein	1	0	0	0	0
12444	1	BACH1	571	Protein	1.33877e-309	0	1	6	-1
12503	-1	Mapk Erk Family		Protein	1.20317e-309	1	1	3	0
12503	0	Mapk Erk Family		Protein	1	0	0	0	0
12503	1	Mapk Erk Family		Protein	1.33898e-309	1	1	3	0
12517	-1	Stat5 Family		Protein	1.20338e-309	0	1	5	-1
12517	0	Stat5 Family		Protein	1	0	0	0	0
12517	1	Stat5 Family		Protein	1.33919e-309	1	0	5	1
12631	-1	NFYB	4801	Protein	1.2036e-309	1	0	2	1
12631	0	NFYB	4801	Protein	1	0	0	0	0
12631	1	NFYB	4801	Protein	1.3394e-309	0	1	2	-1
12658	-1	Pravastatin		Compound	1.20381e-309	3	5	0	-2
12658	0	Pravastatin		Compound	1	0	0	0	0
12658	1	Pravastatin		Compound	1.33962e-309	5	3	0	2
12729	-1	cytokine		Compound	1.20402e-309	1	1	0	0
12729	0	cytokine		Compound	1	0	0	0	0
12729	1	cytokine		Compound	1.33983e-309	1	1	0	0
12773	-1	MLXIPL	51085	Protein	1.20423e-309	1	0	2	1
12773	0	MLXIPL	51085	Protein	1.27214e-309	0	0	0	0
12773	1	MLXIPL	51085	Protein	1	0	1	2	-1
12808	-1	Prka Family		Protein	1	0	1	10	-1
12808	0	Prka Family		Protein	1.27235e-309	0	0	0	0
12808	1	Prka Family		Protein	1.34025e-309	1	0	10	1
1294	-1	KAT5	10524	Protein	1.16052e-309	1	0	4	1
1294	0	KAT5	10524	Protein	1	0	0	0	0
1294	1	KAT5	10524	Protein	1.29633e-309	0	1	4	-1
12953	-1	histone deacetylase inhibitor	61115	Compound	1.20466e-309	0	1	10	-1
12953	0	histone deacetylase inhibitor	61115	Compound	1	0	0	0	0
12953	1	histone deacetylase inhibitor	61115	Compound	1.34046e-309	1	0	10	1
12958	-1	SALL4	57167	Protein	1.20487e-309	1	0	1	1
12958	0	SALL4	57167	Protein	1	0	0	0	0
12958	1	SALL4	57167	Protein	1.34068e-309	0	1	1	-1
13020	-1	PLAGL2	5326	Protein	1.20508e-309	1	0	3	1
13020	0	PLAGL2	5326	Protein	1.27299e-309	0	0	0	0
13020	1	PLAGL2	5326	Protein	1	0	1	3	-1
13097	-1	Wnt Family		Protein	1.20529e-309	0	1	11	-1
13097	0	Wnt Family		Protein	1	0	0	0	0
13097	1	Wnt Family		Protein	1.3411e-309	1	0	11	1
13190	-1	THRSP	7069	Protein	1.20551e-309	1	0	0	1
13190	0	THRSP	7069	Protein	1	0	0	0	0
13190	1	THRSP	7069	Protein	1.34131e-309	0	1	0	-1
13217	-1	omeprazole	7772	Compound	1.20572e-309	1	3	0	-2
13217	0	omeprazole	7772	Compound	1	0	0	0	0
13217	1	omeprazole	7772	Compound	1.34153e-309	3	1	0	2
13242	-1	NFIX	4784	Protein	1.20593e-309	1	1	3	0
13242	0	NFIX	4784	Protein	1	0	0	0	0
13242	1	NFIX	4784	Protein	1.34174e-309	1	1	3	0
13313	-1	Nkx2-1	21869	Protein	1.20614e-309	0	4	96	-4
13313	0	Nkx2-1	21869	Protein	1	0	0	0	0
13313	1	Nkx2-1	21869	Protein	1.34195e-309	4	0	96	4
13331	-1	CSDA	8531	Protein	1.20635e-309	1	0	4	1
13331	0	CSDA	8531	Protein	1	0	0	0	0
13331	1	CSDA	8531	Protein	1.34216e-309	0	1	4	-1
13450	-1	FLI1	2313	Protein	1.20657e-309	1	1	4	0
13450	0	FLI1	2313	Protein	1	0	0	0	0
13450	1	FLI1	2313	Protein	1.34237e-309	1	1	4	0
13549	-1	HBP1	26959	Protein	1.20678e-309	1	1	13	0
13549	0	HBP1	26959	Protein	1	0	0	0	0
13549	1	HBP1	26959	Protein	1.34259e-309	1	1	13	0
13589	-1	SP5	389058	Protein	1.20699e-309	4	2	81	2
13589	0	SP5	389058	Protein	1	0	0	0	0
13589	1	SP5	389058	Protein	1.3428e-309	2	4	81	-2
136	-1	IFN1@	3438	Protein	3.4634e-310	1	1	56	0
136	0	IFN1@	3438	Protein	1	0	0	0	0
136	1	IFN1@	3438	Protein	1.28954e-309	1	1	56	0
13711	-1	paricalcitol	7931	Compound	1.2072e-309	0	1	0	-1
13711	0	paricalcitol	7931	Compound	1	0	0	0	0
13711	1	paricalcitol	7931	Compound	1.34301e-309	1	0	0	1
1375	-1	Norepinephrine		Compound	1.16073e-309	0	1	22	-1
1375	0	Norepinephrine		Compound	1.22864e-309	0	0	0	0
1375	1	Norepinephrine		Compound	1	1	0	22	1
13816	-1	FOXL1	2300	Protein	1.20742e-309	1	0	8	1
13816	0	FOXL1	2300	Protein	1	0	0	0	0
13816	1	FOXL1	2300	Protein	1.34322e-309	0	1	8	-1
13872	-1	nitric oxide	16480	Compound	1.20763e-309	5	10	32	-5
13872	0	nitric oxide	16480	Compound	1	0	0	0	0
13872	1	nitric oxide	16480	Compound	1.34344e-309	10	5	32	5
13928	-1	HOXC6	3223	Protein	1.20784e-309	2	0	30	2
13928	0	HOXC6	3223	Protein	1	0	0	0	0
13928	1	HOXC6	3223	Protein	1.34365e-309	0	2	30	-2
14052	-1	NANOG	79923	Protein	1.20805e-309	1	3	1	-2
14052	0	NANOG	79923	Protein	1	0	0	0	0
14052	1	NANOG	79923	Protein	1.34386e-309	3	1	1	2
14058	-1	NRF1	4899	Protein	1.20826e-309	2	3	11	-1
14058	0	NRF1	4899	Protein	1	0	0	0	0
14058	1	NRF1	4899	Protein	1.34407e-309	3	2	11	1
14086	-1	NKX2-5	1482	Protein	1.20848e-309	1	0	8	1
14086	0	NKX2-5	1482	Protein	1	0	0	0	0
14086	1	NKX2-5	1482	Protein	1.34428e-309	0	1	8	-1
14096	-1	testosterone	17347	Compound	1.20869e-309	2	3	6	-1
14096	0	testosterone	17347	Compound	1	0	0	0	0
14096	1	testosterone	17347	Compound	1.3445e-309	3	2	6	1
1417	-1	ZBTB17	7709	Protein	1.16094e-309	0	1	11	-1
1417	0	ZBTB17	7709	Protein	1	0	0	0	0
1417	1	ZBTB17	7709	Protein	1.29675e-309	1	0	11	1
14288	-1	HES7	84667	Protein	1.2089e-309	0	1	0	-1
14288	0	HES7	84667	Protein	1	0	0	0	0
14288	1	HES7	84667	Protein	1.34471e-309	1	0	0	1
14290	-1	RFX5	5993	Protein	1.20911e-309	0	1	2	-1
14290	0	RFX5	5993	Protein	1	0	0	0	0
14290	1	RFX5	5993	Protein	1.34492e-309	1	0	2	1
14357	-1	MEF2 Family		Protein	1.20933e-309	0	1	13	-1
14357	0	MEF2 Family		Protein	1	0	0	0	0
14357	1	MEF2 Family		Protein	1.34513e-309	1	0	13	1
14375	-1	NFAT Family		Protein	1.20954e-309	1	1	7	0
14375	0	NFAT Family		Protein	1	0	0	0	0
14375	1	NFAT Family		Protein	1.34535e-309	1	1	7	0
14399	-1	BRD2	6046	Protein	1.20975e-309	1	0	0	1
14399	0	BRD2	6046	Protein	1.27765e-309	0	0	0	0
14399	1	BRD2	6046	Protein	1	0	1	0	-1
1441	-1	ADRB Family		Protein	1.16116e-309	0	2	1	-2
1441	0	ADRB Family		Protein	1	0	0	0	0
1441	1	ADRB Family		Protein	1.29696e-309	2	0	1	2
14413	-1	biotin	15956	Compound	1.20996e-309	0	1	0	-1
14413	0	biotin	15956	Compound	1	0	0	0	0
14413	1	biotin	15956	Compound	1.34577e-309	1	0	0	1
14466	-1	simvastatin	9150	Compound	1.21017e-309	2	6	5	-4
14466	0	simvastatin	9150	Compound	1	0	0	0	0
14466	1	simvastatin	9150	Compound	1.34598e-309	6	2	5	4
14507	-1	GCM1	8521	Protein	1	1	1	1	0
14507	0	GCM1	8521	Protein	1.27829e-309	0	0	0	0
14507	1	GCM1	8521	Protein	1.34619e-309	1	1	1	0
14555	-1	SPI1	6688	Protein	1.2106e-309	1	0	18	1
14555	0	SPI1	6688	Protein	1	0	0	0	0
14555	1	SPI1	6688	Protein	1.34641e-309	0	1	18	-1
14612	-1	ZHX2	22882	Protein	1.21081e-309	1	0	10	1
14612	0	ZHX2	22882	Protein	1	0	0	0	0
14612	1	ZHX2	22882	Protein	1.34662e-309	0	1	10	-1
1466	-1	Cyclic GMP		Compound	1.16137e-309	0	4	2	-4
1466	0	Cyclic GMP		Compound	1	0	0	0	0
1466	1	Cyclic GMP		Compound	1.29718e-309	4	0	2	4
14717	-1	Oxidized High Density LipoProtein		Compound	1.21102e-309	1	3	3	-2
14717	0	Oxidized High Density LipoProtein		Compound	1	0	0	0	0
14717	1	Oxidized High Density LipoProtein		Compound	1.34683e-309	3	1	3	2
14722	-1	Epinephrine		Compound	1.21124e-309	2	0	17	2
14722	0	Epinephrine		Compound	1	0	0	0	0
14722	1	Epinephrine		Compound	1.34704e-309	0	2	17	-2
14762	-1	NTF4	4909	Protein	1	1	0	1	1
14762	0	NTF4	4909	Protein	1.27935e-309	0	0	0	0
14762	1	NTF4	4909	Protein	1.34726e-309	0	1	1	-1
14805	-1	IKBK/CHUK Family		Protein	1.21166e-309	1	0	0	1
14805	0	IKBK/CHUK Family		Protein	1	0	0	0	0
14805	1	IKBK/CHUK Family		Protein	1.34747e-309	0	1	0	-1
14819	-1	HOXA13	3209	Protein	1.21187e-309	2	2	71	0
14819	0	HOXA13	3209	Protein	1	0	0	0	0
14819	1	HOXA13	3209	Protein	1.34768e-309	2	2	71	0
149	-1	erlotinib	114785	Compound	3.4634e-310	3	2	1	1
149	0	erlotinib	114785	Compound	1	0	0	0	0
149	1	erlotinib	114785	Compound	1.28975e-309	2	3	1	-1
14904	-1	MAP2K Family		Protein	1	0	3	13	-3
14904	0	MAP2K Family		Protein	1.27999e-309	0	0	0	0
14904	1	MAP2K Family		Protein	1.34789e-309	3	0	13	3
14906	-1	FSH		Compound	1.2123e-309	1	2	2	-1
14906	0	FSH		Compound	1	0	0	0	0
14906	1	FSH		Compound	1.3481e-309	2	1	2	1
14922	-1	Metribolone		Compound	1.21251e-309	0	2	1	-2
14922	0	Metribolone		Compound	1	0	0	0	0
14922	1	Metribolone		Compound	1.34832e-309	2	0	1	2
14985	-1	FOXD3	27022	Protein	1.21272e-309	1	0	4	1
14985	0	FOXD3	27022	Protein	1	0	0	0	0
14985	1	FOXD3	27022	Protein	1.34853e-309	0	1	4	-1
15016	-1	NOS1	4842	Protein	1.21293e-309	1	0	12	1
15016	0	NOS1	4842	Protein	1	0	0	0	0
15016	1	NOS1	4842	Protein	1.34874e-309	0	1	12	-1
15138	-1	PKNOX1	5316	Protein	1.21314e-309	0	1	3	-1
15138	0	PKNOX1	5316	Protein	1	0	0	0	0
15138	1	PKNOX1	5316	Protein	1.34895e-309	1	0	3	1
15218	-1	CDX1	1044	Protein	1.21336e-309	0	1	0	-1
15218	0	CDX1	1044	Protein	1	0	0	0	0
15218	1	CDX1	1044	Protein	1.34916e-309	1	0	0	1
15257	-1	NEUROG3	50674	Protein	1.21357e-309	0	1	4	-1
15257	0	NEUROG3	50674	Protein	1	0	0	0	0
15257	1	NEUROG3	50674	Protein	1.34938e-309	1	0	4	1
15456	-1	IRF5	3663	Protein	1.21378e-309	5	1	81	4
15456	0	IRF5	3663	Protein	1	0	0	0	0
15456	1	IRF5	3663	Protein	1.34959e-309	1	5	81	-4
15466	-1	PLAG1	5324	Protein	1.21399e-309	0	1	30	-1
15466	0	PLAG1	5324	Protein	1	0	0	0	0
15466	1	PLAG1	5324	Protein	1.3498e-309	1	0	30	1
15524	-1	SIX1	6495	Protein	1.21421e-309	1	0	4	1
15524	0	SIX1	6495	Protein	1	0	0	0	0
15524	1	SIX1	6495	Protein	1.35001e-309	0	1	4	-1
15605	-1	Prkc Family		Protein	1.21442e-309	2	4	29	-2
15605	0	Prkc Family		Protein	1	0	0	0	0
15605	1	Prkc Family		Protein	1.35023e-309	4	2	29	2
15606	-1	GK	2710	Protein	1.21463e-309	2	1	0	1
15606	0	GK	2710	Protein	1	0	0	0	0
15606	1	GK	2710	Protein	1.35044e-309	1	2	0	-1
15618	-1	estradiol	23965	Compound	1.21484e-309	8	6	77	2
15618	0	estradiol	23965	Compound	1	0	0	0	0
15618	1	estradiol	23965	Compound	1.35065e-309	6	8	77	-2
1567	-1	Nutlin 3		Compound	1.16158e-309	7	4	4	3
1567	0	Nutlin 3		Compound	1	0	0	0	0
1567	1	Nutlin 3		Compound	1.29739e-309	4	7	4	-3
15679	-1	DBP	1628	Protein	1.21505e-309	1	1	1	0
15679	0	DBP	1628	Protein	1	0	0	0	0
15679	1	DBP	1628	Protein	1.35086e-309	1	1	1	0
15696	-1	KAT5	10524	Protein	1.21527e-309	0	1	3	-1
15696	0	KAT5	10524	Protein	1	0	0	0	0
15696	1	KAT5	10524	Protein	1.35107e-309	1	0	3	1
1573	-1	Lithium		Compound	1.16179e-309	0	1	3	-1
1573	0	Lithium		Compound	1	0	0	0	0
1573	1	Lithium		Compound	1.2976e-309	1	0	3	1
15757	-1	MLL	4297	Protein	1.21548e-309	1	0	1	1
15757	0	MLL	4297	Protein	1	0	0	0	0
15757	1	MLL	4297	Protein	1.35129e-309	0	1	1	-1
15767	-1	oxandrolone	7820	Compound	1.21569e-309	1	1	0	0
15767	0	oxandrolone	7820	Compound	1	0	0	0	0
15767	1	oxandrolone	7820	Compound	1.3515e-309	1	1	0	0
15788	-1	HOXA9	3205	Protein	1.2159e-309	5	3	22	2
15788	0	HOXA9	3205	Protein	1	0	0	0	0
15788	1	HOXA9	3205	Protein	1.35171e-309	3	5	22	-2
15791	-1	Telomestatin		Compound	1.21612e-309	0	1	0	-1
15791	0	Telomestatin		Compound	1	0	0	0	0
15791	1	Telomestatin		Compound	1.35192e-309	1	0	0	1
15915	-1	NFIA	4774	Protein	1.21633e-309	1	0	6	1
15915	0	NFIA	4774	Protein	1	0	0	0	0
15915	1	NFIA	4774	Protein	1.35214e-309	0	1	6	-1
15935	-1	Tgfbr Family		Protein	1.21654e-309	3	0	10	3
15935	0	Tgfbr Family		Protein	1	0	0	0	0
15935	1	Tgfbr Family		Protein	1.35235e-309	0	3	10	-3
15965	-1	CTCFL	140690	Protein	1.21675e-309	1	0	3	1
15965	0	CTCFL	140690	Protein	1	0	0	0	0
15965	1	CTCFL	140690	Protein	1.35256e-309	0	1	3	-1
15973	-1	Map2k Family		Protein	1.21696e-309	2	1	10	1
15973	0	Map2k Family		Protein	1	0	0	0	0
15973	1	Map2k Family		Protein	1.35277e-309	1	2	10	-1
16011	-1	ELF1	1997	Protein	1.21718e-309	1	0	2	1
16011	0	ELF1	1997	Protein	1	0	0	0	0
16011	1	ELF1	1997	Protein	1.35298e-309	0	1	2	-1
16019	-1	PLAGL1	5325	Protein	1.21739e-309	0	1	4	-1
16019	0	PLAGL1	5325	Protein	1	0	0	0	0
16019	1	PLAGL1	5325	Protein	1.3532e-309	1	0	4	1
16043	-1	CBFA2T3	863	Protein	1.2176e-309	1	1	4	0
16043	0	CBFA2T3	863	Protein	1	0	0	0	0
16043	1	CBFA2T3	863	Protein	1.35341e-309	1	1	4	0
1607	-1	ONECUT1	3175	Protein	1.162e-309	0	1	5	-1
1607	0	ONECUT1	3175	Protein	1	0	0	0	0
1607	1	ONECUT1	3175	Protein	1.29781e-309	1	0	5	1
16213	-1	Low Density LipoProtein		Compound	1.21781e-309	2	1	8	1
16213	0	Low Density LipoProtein		Compound	1	0	0	0	0
16213	1	Low Density LipoProtein		Compound	1.35362e-309	1	2	8	-1
16253	-1	serum glucose		Compound	1.21803e-309	5	6	86	-1
16253	0	serum glucose		Compound	1	0	0	0	0
16253	1	serum glucose		Compound	1.35383e-309	6	5	86	1
16308	-1	fulvestrant	31638	Compound	1.21824e-309	5	1	7	4
16308	0	fulvestrant	31638	Compound	1	0	0	0	0
16308	1	fulvestrant	31638	Compound	1.35405e-309	1	5	7	-4
16488	-1	NANOG	79923	Protein	1.21845e-309	1	0	0	1
16488	0	NANOG	79923	Protein	1	0	0	0	0
16488	1	NANOG	79923	Protein	1.35426e-309	0	1	0	-1
16511	-1	Testosterone propionate		Compound	1.21866e-309	1	0	4	1
16511	0	Testosterone propionate		Compound	1	0	0	0	0
16511	1	Testosterone propionate		Compound	1.35447e-309	0	1	4	-1
16615	-1	E2F Family		Protein	1.21887e-309	1	2	34	-1
16615	0	E2F Family		Protein	1	0	0	0	0
16615	1	E2F Family		Protein	1.35468e-309	2	1	34	1
1663	-1	HDAC Family		Protein	1.16222e-309	1	0	8	1
1663	0	HDAC Family		Protein	1	0	0	0	0
1663	1	HDAC Family		Protein	1.29802e-309	0	1	8	-1
16635	-1	gamma-tocopherol	18185	Compound	1.21909e-309	1	1	7	0
16635	0	gamma-tocopherol	18185	Compound	1	0	0	0	0
16635	1	gamma-tocopherol	18185	Compound	1.35489e-309	1	1	7	0
16751	-1	MTF1	4520	Protein	1.2193e-309	1	0	13	1
16751	0	MTF1	4520	Protein	1	0	0	0	0
16751	1	MTF1	4520	Protein	1.35511e-309	0	1	13	-1
16758	-1	NOS2	4843	Protein	1.21951e-309	0	1	5	-1
16758	0	NOS2	4843	Protein	1	0	0	0	0
16758	1	NOS2	4843	Protein	1.35532e-309	1	0	5	1
16790	-1	Isoproterenol		Compound	1.21972e-309	0	2	3	-2
16790	0	Isoproterenol		Compound	1	0	0	0	0
16790	1	Isoproterenol		Compound	1.35553e-309	2	0	3	2
16795	-1	POU2F2	5452	Protein	1.21994e-309	0	1	6	-1
16795	0	POU2F2	5452	Protein	1	0	0	0	0
16795	1	POU2F2	5452	Protein	1.35574e-309	1	0	6	1
16816	-1	Acetaminophen		Compound	1.22015e-309	1	0	5	1
16816	0	Acetaminophen		Compound	1	0	0	0	0
16816	1	Acetaminophen		Compound	1.35596e-309	0	1	5	-1
16819	-1	lipid	18059	Compound	1.22036e-309	0	1	2	-1
16819	0	lipid	18059	Compound	1	0	0	0	0
16819	1	lipid	18059	Compound	1.35617e-309	1	0	2	1
16854	-1	NOS3	4846	Protein	1.22057e-309	1	1	16	0
16854	0	NOS3	4846	Protein	1.28848e-309	0	0	0	0
16854	1	NOS3	4846	Protein	1	1	1	16	0
16862	-1	fenofibrate	5001	Compound	1.22078e-309	0	2	9	-2
16862	0	fenofibrate	5001	Compound	1	0	0	0	0
16862	1	fenofibrate	5001	Compound	1.35659e-309	2	0	9	2
