uid	name	id	type	prob_down	prob_zero	prob_up	ITE	regulation	correct	incorrect	zero	score	MeSH
5459	FOXO3	2309	Protein	1	1.24561e-309	1.31352e-309	iter1	-1	83	17	11	66	Tamoxifen, nonzeroMeSH, Phosphoric Monoester Hydrolases, STAT5 Transcription Factor/metabolism, Recombinant Fusion Proteins, Phosphatidylinositol 3-Kinases, Prostatic Neoplasms/genetics, Forkhead Transcription Factors, Tamoxifen/analogs & derivatives, Sequence Alignment, Forkhead Transcription Factors/genetics, STAT5 Transcription Factor, Erythropoietin/metabolism, Stem Cell Factor, Cyclic AMP Response Element-Binding Protein/metabolism, Erythropoiesis, Stem Cell Factor/metabolism, Phosphoric Monoester Hydrolases/genetics, Binding Sites, Phosphatidylinositol 3-Kinases/metabolism, Recombinant Fusion Proteins/metabolism, Ultraviolet Rays, Cyclic AMP Response Element-Binding Protein, Erythropoietin, Forkhead Transcription Factors/metabolism, Cell Differentiation/physiology, STAT5 Transcription Factor/genetics, Trans-Activators/genetics, Cyclic AMP Response Element-Binding Protein/genetics, Neoplasm Proteins/metabolism, Repressor Proteins, Erythropoiesis/physiology, Repressor Proteins/metabolism, Mitosis, Phosphoric Monoester Hydrolases/metabolism, Tumor Suppressor Proteins/metabolism, Neoplasm Metastasis, Membrane Glycoproteins, Signal Transduction/physiology, Adenoviridae/genetics, Prostatic Neoplasms, Repressor Proteins/genetics, Transcription Factors/chemistry, DNA-Binding Proteins/biosynthesis, Apoptosis Regulatory Proteins, DNA-Binding Proteins/chemistry, Membrane Glycoproteins/metabolism, Tumor Necrosis Factor-alpha/metabolism, Tumor Suppressor Proteins/genetics, Protein Binding, TNF-Related Apoptosis-Inducing Ligand, Transcription Factors/biosynthesis, Ligands, PTEN Phosphohydrolase, Prostatic Neoplasms/metabolism, Active Transport, Anoikis, Serpins/chemistry, Chromatin Immunoprecipitation, Human/metabolism, Urokinase-Type Plasminogen Activator/metabolism, Recombinant Fusion Proteins/genetics, Serine/metabolism, Circular Dichroism, Luminescent Proteins/genetics, Serine, Cell Nucleus/physiology, Lymphoma/prevention & control, S-Phase Kinase-Associated Proteins/genetics, Lymphoma, 3T3 Cells, Phosphoproteins/genetics, S-Phase Kinase-Associated Proteins/metabolism, Chromatin, Chromatin/metabolism, Positive Transcriptional Elongation Factor B/metabolism, Fenfluramine/metabolism, Mitochondria/genetics, Hydroxymethylglutaryl-CoA Synthase/metabolism, Muscular Atrophy/metabolism, Muscular Atrophy/etiology, Cytotoxic/drug effects, Transcription Factor TFIIH, Fenfluramine/analogs & derivatives, ras, Fenfluramine, Protein-Arginine N-Methyltransferases, Protein-Arginine N-Methyltransferases/metabolism, Muscle Cells/enzymology, SKP Cullin F-Box Protein Ligases, p53, Phytohemagglutinins, Interleukin-2/immunology, Phytohemagglutinins/pharmacology, Cytotoxic/immunology, Interleukin-2/deficiency, Cytotoxic, Cytotoxic/metabolism, Cytotoxic/cytology, 
6109	CASQ1	844	Protein	1	1.24773e-309	1.31564e-309	iter1	-1	1	0	7	1	Repressor Proteins, Transgenic, Repressor Proteins/genetics, nonzeroMeSH, 
6507	PIAS2	9063	Protein	1.1811e-309	1.24901e-309	1	iter1	1	1	0	1	1	Recombinant Fusion Proteins/genetics, Recombinant Fusion Proteins/metabolism, Ultraviolet Rays, Kruppel-Like Transcription Factors, Sequence Alignment, Cyclin-Dependent Kinase Inhibitor p21, Cell Division/radiation effects, nonzeroMeSH, Repressor Proteins, Phenotype, Recombinant Fusion Proteins, 
6762	HNRNPK	3190	Protein	1.18174e-309	1.24964e-309	1	iter1	1	0	3	5	-3	Collagen/genetics, nonzeroMeSH, Recombinant Fusion Proteins, Biotin/chemistry, Protein Binding, Cyclic AMP Response Element-Binding Protein/genetics, Hu Paraneoplastic Encephalomyelitis Antigens, Ligands, Cyclin-Dependent Kinase Inhibitor p21, Recombinant Fusion Proteins/metabolism, Collagen Type I/genetics, Inbred BALB C, Binding Sites, Heterogeneous-Nuclear Ribonucleoprotein K/metabolism, Collagen Type I, Transgenic, Cyclic AMP Response Element-Binding Protein, Sialoglycoproteins, Sialoglycoproteins/genetics, 
6954	TP53	7157	Protein	1	1.2507e-309	1.31861e-309	iter1	-1	8	5	116	3	Germ-Line Mutation, Inbred BALB C, Skin Neoplasms/genetics, ras, Cocarcinogenesis, Papilloma, Squamous Cell/chemically induced, p53/genetics, Papilloma/genetics, p53, Transgenic, ras/genetics, Carcinoma, Skin Neoplasms/chemically induced, Papilloma/chemically induced, 3T3 Cells, Benzo(a)pyrene, Skin Neoplasms, Squamous Cell/genetics, Squamous Cell, Carcinogens, Apoptosis Regulatory Proteins, Repressor Proteins, nonzeroMeSH, Sequence Alignment, Phosphoproteins/genetics, Protein Binding, Cytoskeletal Proteins, Membrane Glycoproteins, Binding Sites, Membrane Glycoproteins/metabolism, Mutant Strains, Forkhead Transcription Factors, Chromatin/metabolism, Repressor Proteins/metabolism, Chromatin, Sialoglycoproteins/biosynthesis, Sialoglycoproteins, Sialoglycoproteins/genetics, Osteopontin, Globins, Recombinant Fusion Proteins, Globins/biosynthesis, Globins/genetics, Phenotype, 5-Aminolevulinate Synthetase, ras Proteins, ras Proteins/metabolism, Doxorubicin/metabolism, ras Proteins/genetics, Cell Membrane, Cyclin-Dependent Kinase Inhibitor p21, Ultraviolet Rays, Fatty Liver/etiology, Fatty Liver/physiopathology, Recombinant Fusion Proteins/metabolism, Chromatin Immunoprecipitation, 
743	Oxidopamine		Compound	1	1.22524e-309	1.29314e-309	iter1	-1	1	1	23	0	Molecular Chaperones/genetics, Molecular Chaperones, nonzeroMeSH, 
7956	HNF1A	6927	Protein	1.18662e-309	1.25452e-309	1	iter1	1	5	2	28	3	nonzeroMeSH, Protein Binding, Uridine Triphosphate/metabolism, Binding Sites, Sequence Alignment, Chromatin/genetics, Repressor Proteins/metabolism, Trans-Activators/genetics, Chromatin Immunoprecipitation, Fetus, Sialoglycoproteins/biosynthesis, Sialoglycoproteins/genetics, Chromatin, Arteries/pathology, Sialoglycoproteins, Phosphoproteins/genetics, Recombinant Fusion Proteins, Osteopontin, Sialyltransferases/biosynthesis, Phenotype, Recombinant Fusion Proteins/genetics, Recombinant Fusion Proteins/metabolism, Mutant Strains, Repressor Proteins, Ligands, STAT5 Transcription Factor, Liver/pathology, DNA-Binding Proteins/chemistry, 
8376	KLF1	10661	Protein	1.18811e-309	1.25601e-309	1	iter1	1	115	20	25	95	Kruppel-Like Transcription Factors/metabolism, Globins, nonzeroMeSH, Chromatin/metabolism, Globins/genetics, Transcriptional/genetics, Anemia, Fetus/metabolism, Erythropoiesis/genetics, Erythropoiesis, Fetus/pathology, Chromatin Immunoprecipitation/methods, Erythrocyte Membrane/genetics, Yolk Sac/embryology, Yolk Sac/pathology, Yolk Sac, Liver/embryology, Regulatory Elements, Lethal, Kruppel-Like Transcription Factors/genetics, Molecular Chaperones/genetics, Chromatin Immunoprecipitation, Lethal/genetics, Developmental/genetics, Recombinant Fusion Proteins, Mutant Strains, Cytoskeletal Proteins, Hemoglobins, Chromatin/genetics, Fetus, Tamoxifen/metabolism, Molecular Chaperones/metabolism, Phenotype, Anemia/metabolism, Anemia/pathology, Erythrocyte Membrane, Erythrocytes/cytology, Liver/pathology, Chromatin, Cell Membrane/metabolism, Hemoglobins/metabolism, Globins/biosynthesis, Recombinant Fusion Proteins/genetics, Tamoxifen, Blood Proteins/genetics, Transcriptional, Erythropoiesis/physiology, Cell Membrane, Phosphoproteins/genetics, Anemia/genetics, Kruppel-Like Transcription Factors, Blood Proteins, Erythrocytes, Molecular Chaperones, Hormonal, Blood Proteins/metabolism, Recombinant Fusion Proteins/metabolism, Hormonal/metabolism, Erythrocyte Membrane/metabolism, Erythrocytes/physiology, Cell Differentiation/physiology, Adipogenesis/physiology, Transcription Factors/biosynthesis, Hematopoiesis/physiology, Repressor Proteins, Repressor Proteins/metabolism, Repressor Proteins/genetics, Binding Sites, Erythrocytes/enzymology, 3T3 Cells, 5-Aminolevulinate Synthetase, 
844	TFAP2A	7020	Protein	1.15776e-309	1.22566e-309	1	iter1	1	2	1	33	1	Recombinant Fusion Proteins, Repressor Proteins, Repressor Proteins/metabolism, Binding Sites, Recombinant Fusion Proteins/genetics, Cell Differentiation/physiology, nonzeroMeSH, Kruppel-Like Transcription Factors, Recombinant Fusion Proteins/metabolism, Protein Binding, 
9303	ZFPM1	161882	Protein	1	1.2594e-309	1.32731e-309	iter1	-1	1	2	3	-1	Binding Sites, Protein Binding, Transgenic, nonzeroMeSH, DNA-Binding Proteins/chemistry, Transcription Factors/biosynthesis, Transcription Factors/chemistry, 
9326	Notch Family		Protein	1.19171e-309	1.25962e-309	1	iter1	1	1	0	4	1	nonzeroMeSH, Binding Sites, Transgenic, Trans-Activators/genetics, Repressor Proteins/genetics, Repressor Proteins, Signal Transduction/physiology, 
9891	Colforsin		Compound	1.19341e-309	1.26131e-309	1	iter1	1	7	5	67	2	Phosphatidylinositol 3-Kinases, Binding Sites, Phosphatidylinositol 3-Kinases/metabolism, Cyclic AMP Response Element-Binding Protein, Cell Differentiation/physiology, nonzeroMeSH, Cell Membrane/metabolism, Transcription Factors/chemistry, Repressor Proteins, Sequence Alignment, Mutant Strains, Cell Membrane, Cyclic AMP Response Element-Binding Protein/metabolism, Prostatic Neoplasms, Protein Binding, 3T3 Cells, 
9909	FOXO1	2308	Protein	1	1.26153e-309	1.32943e-309	iter1	-1	21	7	187	14	Forkhead Transcription Factors, Transgenic, Forkhead Transcription Factors/metabolism, TNF-Related Apoptosis-Inducing Ligand, nonzeroMeSH, Phosphoric Monoester Hydrolases/metabolism, Adenoviridae/genetics, Carcinoma, Cell Differentiation/physiology, PTEN Phosphohydrolase, Phosphoric Monoester Hydrolases, Prostatic Neoplasms/metabolism, Tumor Necrosis Factor-alpha/metabolism, Binding Sites, Apoptosis Regulatory Proteins, Protein Binding, Forkhead Transcription Factors/genetics, Chromatin, Membrane Glycoproteins/metabolism, DNA-Binding Proteins/chemistry, Phosphoric Monoester Hydrolases/genetics, Tumor Suppressor Proteins/metabolism, Transcription Factors/biosynthesis, Neoplasm Metastasis, Prostatic Neoplasms/genetics, Transcription Factors/chemistry, DNA-Binding Proteins/biosynthesis, Ligands, Cell Nucleus/physiology, Phosphatidylinositol 3-Kinases/metabolism, Phosphatidylinositol 3-Kinases, Active Transport, Membrane Glycoproteins, Tumor Suppressor Proteins/genetics, Signal Transduction/physiology, Prostatic Neoplasms, Phosphoproteins/genetics, Trans-Activators/genetics, Cytoskeletal Proteins, Recombinant Fusion Proteins/metabolism, Recombinant Fusion Proteins/genetics, Recombinant Fusion Proteins, Serine, Luminescent Proteins/genetics, Circular Dichroism, Serine/metabolism, S-Phase Kinase-Associated Proteins/metabolism, Lymphoma/prevention & control, Lymphoma, S-Phase Kinase-Associated Proteins/genetics, 3T3 Cells, Insulin-Like Growth Factor Binding Protein 1/genetics, Insulin-Like Growth Factor Binding Protein 1/biosynthesis, Atrophy, SKP Cullin F-Box Protein Ligases/metabolism, Phenotype, SKP Cullin F-Box Protein Ligases, Blood Proteins, Blood Proteins/genetics, 
