uid	srcuid	trguid	srcname	srctype	trgname	trgtype	trgval	type	pmids	nls
22977	20228	 4678	DYSF	Protein	ERRFI1	mRNA	0	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
24558	20228	 2720	DYSF	Protein	TAGLN	mRNA	-1	-1	12471055	Table 3. Genes differentially expressed in LGMD2B muscles (DYSF mutant) upregulated
24672	20228	17249	DYSF	Protein	LRP10	mRNA	0	-1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
24986	20228	 2737	DYSF	Protein	AP4S1	mRNA	0	-1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
25222	20228	 6391	DYSF	Protein	VLDLR	mRNA	0	-1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
 2671	20228	 8126	DYSF	Protein	S100B	mRNA	0	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
 2808	20228	15988	DYSF	Protein	CASP1	mRNA	0	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
28611	20228	 3297	DYSF	Protein	TIMP1	mRNA	0	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
30078	20228	 6134	DYSF	Protein	GEM	mRNA	0	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
35839	20228	14144	DYSF	Protein	TIMP4	mRNA	0	-1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
37315	20228	  404	DYSF	Protein	Tgtp1	mRNA	0	-1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
37603	20228	 7838	DYSF	Protein	NEDD4L	mRNA	0	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
38187	20228	 7421	DYSF	Protein	Ccl9	mRNA	0	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
38356	20228	 1872	DYSF	Protein	BTG2	mRNA	0	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
38946	20228	12898	DYSF	Protein	UGDH	mRNA	0	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
38961	20228	14125	DYSF	Protein	RAB6A	mRNA	0	-1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
39285	20228	13309	DYSF	Protein	LITAF	mRNA	0	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
40005	20228	13078	DYSF	Protein	NCF2	mRNA	0	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
42057	20228	13115	DYSF	Protein	EGR1	mRNA	-1	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
42191	20228	14895	DYSF	Protein	S100A8	mRNA	0	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
42605	20228	 2610	DYSF	Protein	GPCPD1	mRNA	0	-1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
43534	20228	12814	DYSF	Protein	H2-Aa	mRNA	0	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
43947	20228	 4591	DYSF	Protein	S100A4	mRNA	0	1	15811552	The SJL mouse is a model for human dysferlinopathy (limb-girdle muscular dystrophy type 2B and Miyoshi myopathy). We used cDNA microarrays to compare the expression profiles of 10,012 genes in control and SJL quadriceps femoris muscles in order to find genes involved in the degeneration and regeneration process and in dysferlinps functional network. Many genes involved in the process of muscle regeneration are observed to be up-regulated in SJL mice, including cardiac ankyrin repeated protein (CARP), Neuraminidase 2, interleukin-6, insulin-like growth factor-2 and osteopontin. We found the upregulation of S100 calcium binding proteins, neural precursor cell expressed, developmentally down-regulated gene 4-like (NEDD4L) with C2 domain, and intracellular protein traffic associated proteins (Rab6 and Rab2). These proteins have the potential to interact with dysferlin. We must reveal some other molecules which may work with dysferlin in order to clarify the pathological network of dysferlinopathy. This process may lead to future improvements in the therapy for human dysferlinopathy.
